id,product_name,ingredient_name,min_intake_value,max_intake_value,display_unit,created_at,updated_at
145,해국추출물,클로로겐산,700,700,mg,2026-01-15 17:00,2026-01-15 17:00
146,홍국쌀,총모나콜린K,4,8,mg,2026-01-15 17:00,2026-01-15 17:00
147,헤모힘 당귀등 혼합추출물,"노다케닌, 패오니플로린, 클로로겐 산",20,40,g,2026-01-15 17:00,2026-01-15 17:00
148,쇠비름주정추출분말,리놀렌산,480,480,mg,2026-01-15 17:00,2026-01-15 17:00
149,차조기등복합추출물,차조기등복합추출물,2400,2400,mg,2026-01-15 17:00,2026-01-15 17:00
150,토치대두발효추출물,"α-글루코시다아제 활성 억제능, 트리스(2-아미노-2--1,3-프로판디올)",900,900,mg,2026-01-15 17:00,2026-01-15 17:00
151,APIC 대두배아열수추출물 등 복합물,"다이진, 글리시틴, 제니스틴 함량의 총 합, L-카르니틴",700,700,mg,2026-01-15 17:00,2026-01-15 17:00
152,프로바이오틱스,"스트렙토코커스 써모필러스 DSM24731, 락토바실러스 아시도필러스 DSM24735, 락토바실러스 델브루에키 ssp 불가리쿠스 DSM24734, 락토바실러스 파라카제이 DSM24733, 락토바실러스 플란타럼 DSM24730, 비피도박테리움 롱검 DSM24736, 비피도박테리움 인판티스 DSM24737, 비피도박테리움 브레베 DSM24732",10000000000,5.00E+11,CFU,2026-01-15 17:00,2026-01-15 17:00
153,밀 추출물,글루코실세라마이드,350,350,mg,2026-01-15 17:00,2026-01-15 17:00
154,실크단백질 산가수분해물,"세린, 글리신",8,8,g,2026-01-15 17:00,2026-01-15 17:00
155,복분자 추출물,엘라그산,600,600,mg,2026-01-15 17:00,2026-01-15 17:00
156,보스웰리아추출물등 복합물,"아세틸-11-케토-베타-보스웰릭산, 총 커큐미노이드, 갈산",200,400,mg,2026-01-15 17:00,2026-01-15 17:00
157,루바브뿌리추출물,라폰티신,4,4,mg,2026-01-15 17:00,2026-01-15 17:00
158,꾸지뽕잎추출물,루틴,100,100,mg,2026-01-15 17:00,2026-01-15 17:00
159,저분자콜라겐펩타이드SH,발린-글리신-프롤린-히드록시프롤린-글리신-프롤린-알라닌-글리신,2000,2000,g,2026-01-15 17:00,2026-01-15 17:00
160,사삼추출물,"리놀레산, 베타시토스테롤",750,750,mg,2026-01-15 17:00,2026-01-15 17:00
161,타히보 추출물,베라트릭산,600,600,mg,2026-01-15 17:00,2026-01-15 17:00
162,유산균복합물,프로바이오틱스 수,1200000000,1200000000,CFU,2026-01-15 17:00,2026-01-15 17:00
163,L-글루탐산발효 가바분말,감마-아미노부티르산(GABA),375,375,mg,2026-01-15 17:00,2026-01-15 17:00
164,보스웰리아추출물,보스웰리아추출물,400,400,mg,2026-01-15 17:00,2026-01-15 17:00
165,청호추출분말,스코폴레틴,686,686,mg,2026-01-15 17:00,2026-01-15 17:00
166,Weissella cibaria JW15 프로바이오틱스,프로바이오틱스 수,1E+11,1E+11,CFU,2026-01-15 17:00,2026-01-15 17:00
167,비수리추출분말,D-피니톨,1250,1250,mg,2026-01-15 17:00,2026-01-15 17:00
168,천심련추출물,안드로그라폴라이드,300,300,mg,2026-01-15 17:00,2026-01-15 17:00
169,콜레우스포스콜리 추출물,콜레우스 포스콜리의 뿌리,50,50,mg,2026-01-15 17:00,2026-01-15 17:00
170,Bacillus coagulans Unique IS-2 프로바이오틱스,프로바이오틱스 수,2000000000,2000000000,CFU,2026-01-15 17:00,2026-01-15 17:00
171,현삼추출물,앤고로사이드 C,300,300,mg,2026-01-15 17:00,2026-01-15 17:00
172,에키네시아추출물,"치커리산, 총 폴리페놀",200,200,mg,2026-01-15 17:00,2026-01-15 17:00
173,참당귀·녹용·황기 복합추출물,"노다케닌, 시알산(시알산), 칼리코신-7-글루코시드",500,500,mg,2026-01-15 17:00,2026-01-15 17:00
174,Lactiplantibacillus plantarum TWK10 프로바이오틱스,프로바이오틱스 수,10000000000,10000000000,CFU,2026-01-15 17:00,2026-01-15 17:00
175,저분자 피쉬 콜라겐 펩타이드,글리신-알라닌-발린-글리신-프롤린-알라닌,2,2,g,2026-01-15 17:00,2026-01-15 17:00
176,EPA 및 DHA 함유 유지,EPA와 DHA,1,2,g,2026-01-15 17:00,2026-01-15 17:00
177,와사비잎추출물,이소비텍신,250,250,mg,2026-01-15 17:00,2026-01-15 17:00
178,저분자콜라겐펩타이드,글리신-프롤린-발린-글리신-프롤린-세린,1000,3000,mg,2026-01-15 17:00,2026-01-15 17:00
179,유청단백지질추출물,스핑고미엘린,600,600,mg,2026-01-15 17:00,2026-01-15 17:00
180,Lactiplantibacillus plantarum C29 프로바이오틱스와 발효대두분말의 복합물,"프로바이오틱스 수, 소야사포닌Ⅰ",800,800,mg,2026-01-15 17:00,2026-01-15 17:00
181,저분자유청단백가수분해물,류신-아스파르트산-이소류신-글루타민-라이신,6,6,g,2026-01-15 17:00,2026-01-15 17:00
182,백편두추출분말,치쿠세츠사포닌 IVa,715,715,mg,2026-01-15 17:00,2026-01-15 17:00
183,돈태반 발효추출물,"L-로이신, L-라이신, L-류실글리신",320,320,mg,2026-01-15 17:00,2026-01-15 17:00
184,배초향 추출물,틸리아닌,1,1,g,2026-01-15 17:00,2026-01-15 17:00
185,발효우슬등복합물,"발효우슬추출물,당귀추출물,두충추출물",1,1,g,2026-01-15 17:00,2026-01-15 17:00
186,구절초추출물,리나린,250,250,mg,2026-01-15 17:00,2026-01-15 17:00
187,뽕나무가지주정추출분말,옥시레스베라트롤,2,2,g,2026-01-15 17:00,2026-01-15 17:00
188,레몬밤민들레추출복합물,"치코릭산,로즈마린산",500,500,mg,2026-01-15 17:00,2026-01-15 17:00
189,발아발효콩추출물,"쿠메스테롤, 이소플라본",1,1,g,2026-01-15 17:00,2026-01-15 17:00
190,유산균발효마늘추출분말,사이클로알린,2,2,g,2026-01-15 17:00,2026-01-15 17:00
